,s,summary,res
1123,行者道：「沒事，有我哩。若到那緊關處，我自然護你。他若問時，你說是東土欽差上西天拜佛取經進寶的和尚。他道：『有甚寶貝？』你卻把錦襴袈裟對他說一遍，說道：『此是三等寶貝。還有頭一等、第二等的好物哩。』但問處，就說這匣內有一件寶貝，上知五百年，下知五百年，中知五百年，共一千五百年過去未來之事，俱盡曉得。卻把老孫放出來。我將那夢中話告誦那太子，他若是肯信，就去拿了那妖魔，一則與他父王報仇，二來我們立個名節；他若不信，再將白玉珪拿與他看。——只恐他年幼，還不認得哩。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、長老、鎮元大仙、鯉太宰、明月
"
1124,敖順道：「只嫁得一個妹丈，乃涇河龍王。向年以此被斬，舍妹孀居於此，前年疾故了。」,龍王道行者,"敖順道唐王、 孫悟淨、崔玨、 八戒、沙僧、鱖婆、黑漢
"
1125,三藏又問：「老院主高壽幾何？」,三藏问老僧,"三藏問老者、八戒、沙僧、院主、高壽幾何、鹿力大仙、阿猴
"
1126,行者看見道：「兄弟，你笑怎麼？你好道有甚手段，擒得那妖魔，破得那火陣？這樁事，也是大家有益的事。常言道：『眾毛攢毬。』你若拿得妖魔，救了師父，也是你的一件大功績。」,行者道沙僧,"孫悟空道八戒、沙僧、馬、長老、鯉英大神、木叉行者、善財童子
"
1127,行者道：「因保唐僧至寶象國，有一妖魔，欺騙國女，傷害吾師，老孫與他賭鬭。正鬭間，不見了這怪。想那怪不是凡間之怪，多是天上之精，特來查勘，那一路走了甚麼妖神。」,行者道四大天師,"行者道三藏、八戒、沙僧、馬、鹿力大仙、長老、鯉太上老君、齊天府仙吏
"
1128,美猴王道：「你們因何不耍不頑，一個個都潛踪隱跡？我來多時了，不見你們形影，何也？」,行者搭配群猴,"美猴王道菩提祖師、木叉行者、善財童子、捧珠龍女道孫悟空
"
1129,行者道：「師父，我們上他身，渡過去也。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、長老、鯉財童子、佈霧郎君、齊天府仙吏
"
1130,眾僧道：「不是鬼，乃是六丁六甲、護教伽藍。但至夜，就來保護。但有要死的，就保著，不教他死。」,眾僧道行者,"眾僧道孫悟空、三藏、八戒、河神、鬼、酧天師、雲童子、電母、鱖少年
"
1131,行者道：「你是也不認得我。我是唐僧的大徒弟，叫做孫悟空行者。——我是你五百年前的舊祖宗哩！」,行者道老妖,"孫悟空道三藏、行者、 八戒、沙僧、馬、長老、鯉諸天與守山大神
"
1132,國王笑道：「你看這和尚說話，終不然朕當怕他？」,國王笑道三藏,"國王笑道三藏、行者、八戒、沙僧、馬、魅風、長老、鯉太宰
"
1133,那怪道：「姓孫的，你且住了手。今日天晚，不好相持。你去，你去！待明早來，與你定個死活。」,黑漢道孫悟空,"怪物道大小眷族、木叉行者、善財童子、捧珠龍女道孫悟空、黑漢
"
1134,老君道：「菩薩將甚兵器？怎麼助他？」,太上老君道菩薩,"太上老君道行者、八戒、沙僧、馬、長老、鎮元大仙、魅、鯉太宰
"
1135,唐僧道：「也罷，隨你去叫他。」,三藏道行者,"三藏道行者、八戒、沙僧、馬、長老、鯉太子、鄧天君、雷公、電母
"
1136,行者借口答道：「孩兒們起來，同我回家去，換了衣服來也。」,行者答道小妖,"孫悟空答道三藏、行者、 八戒、沙僧、馬、長老、鯉諸天與守山大神
"
1137,妖怪道：「我何嘗罵你？」,老妖道行者,"妖精道行者、八戒、沙僧、黑魚精、齊天府仙吏、鱖小姐、鯉金星
"
1138,這大聖纔按落雲頭，闖入蓮花洞裏，解下唐僧與八戒、沙和尚來。,行者解下三藏、八戒、沙僧,"行者解下三藏、八戒、沙僧、馬、流、奎、巴、齊天府仙吏、鎮元大仙、鱖少年
"
1139,行者道：「怪你怎麼？」,行者道太子,"行者道三藏、八戒、沙僧、馬、鄧天君、雷公、電母、長老諸佛祖
"
1140,對行者道：「悟空，這妖精已是降了，卻只是野心不定，等我教他一步一拜，只拜到落伽山，方纔收法。你如今快早去洞中，救你師父去來！」,菩薩道行者,"小道士道行者、八戒、沙僧、雷公、電母、阿翊菩薩道孫悟空
"
1141,行者點頭道：「你說的是。」,行者道八戒,"行者點頭道八戒、沙僧、三藏、馬、鱖婆、長老、鿊聖真君
"
1142,老君趕上抓一把，被他一捽，捽了個倒栽葱，脫身走了。,孫悟空捽太上老君,"太上老君趕上抓行者、八戒、沙僧、馬、鱖婆捽、鯉太公、雷公
"
1143,太宗聞言，與眾宮人道：「想是御妹跌昏了，胡說哩。」,唐王 道玉英宮主,"唐王道菩薩、木叉、善財童子、捧珠龍女道行者、 八戒、沙僧
"
1144,道士笑云：「陛下不知。他昨日來的，在東門外打殺了我兩個徒弟，放了五百個囚僧，捽碎車輛，夜間闖進觀來，把三清聖像毀壞，偷喫了御賜供養。我等被他蒙蔽了，只道是天尊下降；求些聖水金丹，進與陛下，指望延壽長生；不期他遺些小便，哄瞞我等。我等各喝了一口，嘗出滋味，正欲下手擒拿，他卻走了。今日還在此間，正所謂『冤家路兒窄』也！」,老道士笑云國王,"道士笑云行者、八戒、沙僧、陛下院下道老妖、酧天師、雷公、電母
"
1145,國王道：「師父啊，到西天經回之日，是必還到寡人界內一顧。」,皇帝道三藏,"國王道三藏、行者、八戒、沙僧、鹿力大仙、齊天府仙吏、鯉太宰
"
1146,行者道：「是龍。」,行者道沙僧,"孫悟空道菩薩、木叉、善財童子、捧珠龍女道行者、揭諦神祖
"
1147,那魔十分兇猛，使口寶劍，流星的解數滾來，把個沙僧戰得軟弱難搪，回頭要走；早被他逼住寶杖，輪開大手，攔住沙僧，挾在左脇下，將右手去馬上拿了三藏，腳尖兒鉤著行李，張開口，咬著馬鬃，使起攝法，把他們一陣風，都拿到蓮花洞裏。,銀角攔沙僧,"銀角拿三藏、行者、 八戒、沙僧戰得軟弱搪，回頭要走拽少年
"
1148,道：「小的若受了這些金銀，就死得快了。雖然是燒紙記庫，此乃冥冥之事；況萬歲爺爺那世裏借了金銀，有何憑據？我決不敢受。」,相良道尉遲公,"行者道精細鬼鬼、伶俐蟲、徐茂功、徒弟，磕頂水山虎、倚海龍
"
1149,妖精望菩薩劈心刺一鎗來。,妖王刺菩薩,"妖王劈心刺猛虎、從者、 八戒、沙僧、鹿力大仙、馬、長老猴
"
1150,行者道：「他的身軀小巧，比你還坐得穩當。」,行者道菩薩,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太上老君、鄧天君
"
1151,那八戒搖搖擺擺，對高老唱個喏道：「上覆丈母、大姨、二姨並姨夫、姑舅諸親：我今日去做和尚了，不及面辭，休怪。丈人啊，你還好生看待我渾家：只怕我們取不成經時，好來還俗，照舊與你做女婿過活。」,八戒道太公,"八戒道高老、道老個喏道孫悟空、秦和尚、敬德小姐、黑頂大神
"
1152,那大聖正當悲切，只聽得那芳草坡前，曼荊凹內，響一聲，跳出七八個小猴，一擁上前，圍住叩頭。,群猴叩頭行者,"行者圍住叩頭孫悟空、馬、流、奎、巴、跳出七八個小猴、小妖
"
1153,那怪舉鋼鞭，急架相迎。,鼉龍相迎沙僧,"怪物架相迎特處士、熊山君行者、八戒、沙僧、鱖少君、黑銀角
"
1154,行者道：「這盤上刻那『凌虛子製』，想這道人就叫做凌虛子。菩薩，你要依我時，可就變做這個道人，我把這丹喫了一粒，變上一粒，略大些兒。菩薩，你就捧了這個盤兒，兩粒仙丹，去與那妖上壽，把這丸大些的讓與那妖。待那妖一口吞之，老孫便於中取事，他若不肯獻出佛衣，老孫將他肚腸，就也織將一件出來。」,孫悟空道菩薩,"行者道三藏、八戒、沙僧、馬、鹿力大仙、铨、長老、鎮元大小姐
"
1155,伯欽只得呼喚家僮，牽了馬匹。,伯欽呼喚家僮,"伯欽呼喚家僮、牽金角、馬、魏徵丞相、長老君、鹿力大仙
"
1156,行者叫道：「頭痛！頭痛！」,孫悟空叫道三藏,"行者叫道三藏、八戒、沙僧、頭、酊天府仙吏、銀角、雷公、電母
"
1157,菩薩道：「既載得，如何不過去？」,菩薩道行者,"菩薩道行者、八戒、沙僧、鱖婆、黑魚精、齑漢猛虎、倚海龍
"
1158,行者接缽盂在手中，吩咐沙僧道：「賢弟，卻不可前進。好生保護師父穩坐於此，待我化齋回來，再往西去。」,行者吩咐道沙僧,"孫悟空吩咐沙僧道三藏、鹿力大仙、長老道士、 八戒、徒弟、鯉老
"
1159,八戒在旁笑道：「知他往那裏耍子去來！化甚麼齋，卻教我們在此坐牢！」,八戒笑道三藏,"八戒笑道三藏、行者、沙僧、馬、齊天府仙吏、酧官、醧天君、雷公、電母
"
1160,行者笑道：「我豬弟食腸大，卻不是以果子作膳的。——也罷，也罷；莫嫌菲薄，將就喫個兒當點心罷。」,行者笑道小猴,"行者笑道三藏、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母
"
1161,那灘上僧人，遠遠望見他打殺了兩個道士，丟了車兒，跑將上來道：「不好了！不好了！打殺皇親了！」,僧人道僧人,"兩個道士道行者、八戒、沙僧、雷公、電母、鱖小姐、齊天府仙吏道老者
"
1162,孫大聖情知是怪物弄風，急縱步來趕時，那怪已騁風頭，將唐僧攝去了。,妖精攝去三藏,"行者攝去三藏、八戒、沙僧、馬、鹿力大仙、齊天府仙吏、長老君
"
1163,三藏道：「陽世間怎麼醫？」,三藏道行者,"三藏道孫悟空、八戒、沙僧、鱖少卿、陽金頂大仙、酧天師、鿊天府仙吏
"
1164,只見那婦人出廳迎接。,婦人迎三藏、行者、 八戒、沙僧,"婦人迎接三藏、行者、 八戒、沙僧、馬、鱖小姐、魚精、齊天府仙吏
"
1165,八戒道：「甚麼鬼！這叫做『當面人情鬼』！樹死了，又可醫得活！他弄個光皮散兒好看，者著求醫治樹，單單了脫身走路，還顧得你和我哩！」,八戒道沙僧,"八戒道行者、沙僧、馬、流、奔、巴、鱖、鯉、張道士、酧天君、鍧珠龍女
"
1166,三藏道：「悟空，你想有些耳閉？他說教我們留馬匹、行李，你倒問他要甚麼衣服、盤纔？」,三藏道孫悟空,"三藏道行者、八戒、悟空、沙僧、馬、行李、長老、鯉太子、配力大仙
"
1167,那婦人道：「你師父忒弄精細。在我家招了女婿，卻不強似做掛搭僧，往西蹡路？」,婦人道八戒,"婦人道三藏、行者、 八戒、沙僧、鹿力大仙、齊天府仙吏、長老
"
1168,菩薩道：「你這猴子，又逞自滿，不肯說出保唐僧的話來麼？」,菩薩道行者,"菩薩道行者、八戒、沙僧、麼童、醧、佈秀士、黑漢、齊天府仙吏
"
1169,龍王道：「那廝還鎖在海中，未敢擅便，正欲請大聖發落。」,龍王道行者,"東海龍王道孫悟空、八戒、沙僧、陀、馬、阿羅、配、鿊諸神、鱖神
"
1170,菩薩道：「經驗過的。」,菩薩道行者,"菩薩道行者、八戒、沙僧、馬、長老、鯉財童子、佈霧郎君
"
1171,大聖道：「你們去報他知道，說我來了。」,行者道群猴,"孫悟空道四健將軍、東海龍王、二十四路諸天與守山大神、木叉行者、捧珠龍女
"
1172,行者道：「伸過孤拐來，各打五棍見面，與老孫散散心！」,孫悟空道土地、山神,"行者道三藏、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母、長老
"
1173,那妖見他來到，將一口煙，劈臉噴來。,紅孩兒噴行者,"妖精劈臉噴八戒、沙僧、馬、鱖將軍、鯉太宰、齊天府仙吏
"
1174,樵夫道：「張兄，你水上還不如我山中的生意快活。亦有西江月為證：敗葉枯藤滿路，破梢老竹盈山。女蘿乾葛亂牽攀，折取收繩殺擔。蟲蛀空心榆柳，風吹斷頭松柟。採來堆積備冬寒，換酒換錢從俺。」,李定道張稍,"樵子道行者、八戒、沙僧、雷公、電母、鱖少卿、長老君、鯉太子
"
1175,行者跳將起來道：「師父，夢從想中來。你未曾上山，先怕怪物；又愁雷音路遠，不能得到；思念長安，不知何日回程；所以心多夢多。似老孫一點真心，專要西方見佛，更無一個夢兒見到我。」,行者道三藏,"行者跳將起來佛祖道三藏、 八戒、沙僧、長老、鯉財童子
"
1176,行者道：「師父，我回去便也罷了，只是不曾報得你的恩哩。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、長老、鯉財童子、佈霧郎君、齊天府仙吏
"
1177,三藏道：「既如此，伏侍我上馬去也。」,三藏道孫悟空,"三藏道行者、八戒、沙僧、馬、長老、鯉太子、酧天君、雷公、電母
"
1178,鱖婆拜謝了道：「久知大王有呼風喚雨之神通，攪海翻江之勢力，不知可會降雪？」,鱖婆謝道怪物,"鱖婆拜謝道怪道行者、八戒、沙僧、院主、長老道玉帝
"
1179,菩薩指著行者道：「這不是取經人的大徒弟？」,菩薩道龍,"菩薩道行者、八戒、沙僧、鱖婆、鬼、魅、弟、黑漢、鹿力大仙
"
1180,那國王喝道：「是朕放的仙桃，如何是核？三國師猜著了。」,國王喝道三藏,"國王喝道行者、八戒、沙僧、馬、鱖婆道三藏、魏徵丞相、鯉太官
"
1181,二魔道：「我們有五件寶貝，去了兩件，還有三件，務要拿住他。」,銀角道金角,"銀角道小妖、尉遲童子、尾魅風、尊魿和尚、尚禮道三藏、 孫悟淨
"
1182,行者道：「你有甚麼親戚？」,行者道妖精,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、徒弟君、鯉太宰
"
1183,那美猴王不懼分毫，輪起金箍棒，左遮右攩，把那九曜星戰得筋疲力軟，一個個倒拖器械，敗陣而走，急入中軍帳下，對托塔天王道：「那猴王果十分驍勇！我等戰他不過，敗陣來了。」,孙悟空左遮右攩九曜星,"孫悟空帳丞相拖器械九曜星戰得筋疲力軟、輪起金箍棒左遮攩
"
1184,那長老、行者、沙僧正然唱念此頌，只聽得林深處高聲叫道：「師父啊，綳殺我了！救我一救！下次再不敢了！」,長老高叫道三藏,"三藏叫道行者、八戒、沙僧、長老、孫悟空、源、高高叫婆靈官
"
1185,玉帝聞言，即傳旨赦宥，差天將解放，送與菩薩。,玉帝差天將,"玉帝差天將解放蕭瑀、張氏道源著秦廣臣、捧珠龍女
"
1186,三藏道：「感得太保天恩，搭救出虎狼叢裏，就是餓死，也強如喂虎。」,三藏道伯欽,"三藏道行者、八戒、悟淨、清風、明月、星、鹿力大仙、長老君、鯉太子
"
1187,行者拔一根毫毛，變做假像，陪著八戒、沙僧，立於下面，他卻作五色祥雲，把唐僧撮起空中，徑至東邊臺上坐下。,行者撮起三藏,"行者撮三藏、八戒、沙僧、摩昂、陪白金星、鱖婆、魏徵下妖精
"
1188,行者道：「你今年幾歲了？」,行者道妖精,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、徒弟君、鯉太宰
"
1189,那在洞眾猴，都一齊簇擁同入，分班序齒，禮拜猴王。,眾猴禮拜孫悟空,"在洞眾猴分班序齒禮拜紅孩兒、八戒、沙僧、鱖少年、齊天府仙吏
"
1190,那和尚就有些不耐煩他進裏邊來的意思，半答不答的還了個禮，道：「你是那裏來的？」,僧官道三藏,"和尚道崔玨道細犬、唐王 、 八戒、沙僧、鱖婆、還了個禮，道行者
"
1191,木叉道：「師父，那放光之處，乃是五行山了，見有如來的『壓帖』在那裏。」,木叉道菩薩,"木叉道三藏、行者、 八戒、沙僧、馬、鹿力大仙、鯿大神、長老道士、鱖婆
"
1192,三藏道：「弟子更不曾走貴處的路。」,三藏道僧官,"三藏道行者、八戒、沙僧、馬、鱖婆、鯉太宗、酧天君、雷公
"
1193,大聖笑道：「可請我麼？」,孫悟空道七衣仙女,"孫悟空笑道四健將軍、東海龍王、無那諸天與五方揭諦神道行者
"
1194,父子相抱而哭。,殷丞相相抱而哭殷小姐,"八戒抱而哭精細鬼、伶俐蟲、徒弟，道行者、道士、蟹士、鱖少卿、鿊角
"
1195,八戒道：「我們造化低，撞見日裏鬼了。」,八戒道三藏,"八戒道行者、沙僧、三藏、鹿力大仙、長老、鯉太上老君、鬼长道禪
"
1196,慌得個大聖喏喏連聲道：「小僧是東土大唐來的。奉旨向西方拜佛求經。一行四眾，路過寶方，天色已晚。特奔老菩薩潭府，告借一宵。」,行者道婦人,"孫悟空道大聖真君、木叉行者、喏道眾神、捧珠龍女道小僧、 八戒
"
1197,沙僧道：「這水比我那流沙河如何？去得！去得！」,沙僧道行者,"沙僧道行者、八戒、漢翊菩薩、魏徵、鎮元大仙、濊天府仙吏
"
1198,行者道：「豈有此理！」,行者道八戒,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、徒弟君、鯉太宰
"
1199,老者道：「這廝胡說！你在那裏住？我在那裏住？我來你面前扒柴、挑菜！」,老者道孫悟空,"老者道三藏、行者、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母
"
1200,道：「娘，請姐姐們出來麼。」,八戒道婦人,"行者道婦人、 八戒、沙僧、馬、鹿力大仙、铨、鯉太尉、長老君
"
1201,國王道：「怎麼叫做『隔板猜枚』？」,國王道鹿力大仙,"國王道三藏、行者、八戒、沙僧、麼童、醊天府仙吏、魅、鯉太宰
"
1202,那婦人道：「我也不嫌，只是家下無個家長，招一個倒也罷了；但恐小女兒有些兒嫌醜。」,婦人道八戒,"婦人道三藏、行者、 八戒、沙僧、長老、酧天君、雷公、電母、鱖少年
"
1203,八戒道：「再蒸去！再蒸去！」,八戒道老者,"八戒道行者、沙僧、三藏、馬、鄧天君、雷公、電母、鯉太子、長老君
"
1204,即喚惠岸行者隨行。,如來佛祖喚惠岸行者,"行者隨行三藏、八戒、沙僧、馬、長老、鯉太子、酧天君、鍧瓊喚惠岸
"
1205,好行者，左手挾了沙僧，右手挾了八戒，闖出門，駕著雲光，徑轉智淵寺方丈。,行者挾了沙僧,"行者挾了八戒、沙僧、駕著雲光、徑轉智淵寺、清風、明月
"
1206,行者叫：「小的們，選大棍來！先打二十個見面孤拐，再打二十個背花，然後等我使鐵棒與他送行！」,行者叫八戒,"孫悟空叫眾僧、徒弟，道士、福星、祿星瓊三藏、諸天與行者、捧珠龍女
"
1207,行者聞言，低頭唱喏道：「願求些兒，點試，點試。」,行者道老者,"行者道三藏、八戒、沙僧、願求些兒、點試、長老、酧天君、鿊聖真君
"
1208,三藏道：「陛下，你忒也懦。」,三藏道皇帝,"三藏道皇帝、陛下、尉遲八戒、毫毛、猛虎、捧珠龍女道行者、沙僧
"
1209,大仙道：「孫行者到蓬萊去的？」,鎮元大仙道祿星,"鎮元大仙道行者、八戒、沙僧、馬、長老、鿊天府仙吏、鱖小姐、鯉太子
"
1210,八戒道：「不是心硬；師兄和我說來，他會醫得活。若醫不活，我也不馱他來了。」,八戒道三藏,"八戒道三藏、行者、沙僧、馬、長老、鯉太子、酧天君、雷公、電母
"
1211,那皇帝即下龍位，御手忙攙道：「國師今日行此大禮，何也？」,國王攙道士,"皇帝攙道三藏、行者、 八戒、沙僧、馬、長老道妖精、鹿力大仙
"
1212,約有三五十個，都含淚道：「我等因大王修仙去後，這兩年被他爭吵，把我們都攝將來，那不是我們洞中的家火？石盆、石碗都被這廝拿來也。」,眾猴道孫悟空,"約有都含淚道行者、八戒、沙僧、鱖婆、馬、魅魚磕配、長老君
"
1213,行者道：「你這等家業，也虧你省將起來的。」,行者道老者,"行者道三藏、八戒、沙僧、馬、鹿力大仙、铨、鄧天君、雷公、電母
"
1214,八戒又笑道：「既不是人家奴才，來道叫做『添壽』、『添福』、『添祿』？」,八戒笑道福星,"八戒笑道行者、沙僧、兩個勾死人、雷公、電母、勾孫悟空
"
1215,行者道：「等我看看。」,行者道八戒,"行者道三藏、八戒、沙僧、馬、長老、鯉调、酧天君、雷公、電母
"
1216,三藏道：「既是如此，你且起來。」,三藏道八戒,"三藏道行者、八戒、悟淨、沙僧、馬、長老、酧天君、鿊天府仙吏
"
1217,道：「會唱麼？」,老妖道小龍王,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太子、 道唐王
"
1218,行者笑道：「妙啊！我僧是不曾見！請了！請了！」,行者笑道虎力大仙,"行者笑道妖精、八戒、沙僧、雷公、電母、鱖小姐、齊天府仙吏道小妖
"
1219,行者聞言，把腰兒躬一躬，長了二丈餘高，用手展去灰塵道：「師父，請看。」,行者道三藏,"行者道三藏、八戒、沙僧、鹿力大仙、仙卿、長丈餘高、用手展去灰塵
"
1220,八戒道：「你那裏得知？要稻草包著馬蹄方纔不滑，免教跌下師父來也。」,八戒道行者,"八戒道三藏、行者、沙僧、馬、鹿力大仙、鯿大神、長老、酧天君、鍧珠龍女
"
1221,那僧官道：「你這夥道人都少打！一行說教他往前廊下去蹲，又報甚麼！再說打二十！」,僧官道道人,"僧官道三藏、行者、 八戒、鹿力大仙、少年、尉道士、毫毛、玉皇大帝
"
1222,行者道：「這上面坐的是甚麼菩薩？」,行者道八戒,"孫悟空道三藏、行者、八戒、沙僧、靈神、鱖少年、酧天君、長老
"
1223,班部中閃上托塔李天王與哪吒三太子，越班奏上道：「萬歲，微臣不才，請旨降此妖怪。」,托塔天王越班奏上道玉皇大帝,"哪吒奏上道玉皇大帝、徐茂功、越班奏道孫悟空、调上托塔李天王
"
1224,敖順道：「此正謂『龍生九種，九種各別。』」,龍王道行者,"敖順道唐王、 孫悟淨、崔玨、 八戒、沙僧、鱖小姐、長老
"
1225,眾神個個歡從，即點起：鯊魚驍勇為前部，鱯痴口大作先鋒。,眾神點鯊魚、鱯痴口,"眾神點起行者、八戒、沙僧、鱯痴鬼、魚驍勇為前部孫悟空
"
1226,伯欽請三藏坐坐。,伯欽 請三藏,"伯欽請三藏、行者、 八戒、沙僧、馬、鱖婆、鬼、魅、張二天師
"
1227,那婦人見了他三眾，更加欣喜，以禮邀入廳房。,婦人邀三藏、行者、 八戒、沙僧,"婦人以禮三藏、行者、 八戒、沙僧、馬、鱖少年、齊天府以喜菩薩
"
1228,行者道：「菩薩，你認他不得。他是那黑熊精的朋友。他昨日和一個白衣秀士，都在芳草坡前坐講。後日是黑精的生日，請他們來慶『佛衣會』。今日他先來拜壽，明日來慶『佛衣會』，所以我認得。定是今日替那妖去上壽。」,孫悟空道菩薩,"行者道菩薩、蕭瑀、張道士、齊天府仙吏、酧天師、鍧天君、醭秀士
"
1229,行者道：「我也不用著風雲雷電，只是要些雨水滅火。」,行者道龍王,"行者道八戒、沙僧、三藏、馬、鱖少年、酧天師、鯉太子、鍧天府仙吏
"
1230,木叉對哪吒說：「兄弟，你回去多拜上母親：我事緊急，等送刀來再磕頭罷。」,木叉說哪吒,"哪吒說八戒、沙僧、馬、魅、長老、鯉財童子、佈霧郎君、ro母、尉道行者
"
1231,八戒聞言大怒，罵道：「你這潑物，全沒一些兒眼力！我老豬還掐出水沫兒來哩，你怎敢說我粗糙，要剁鮓醬！看起來，你把我認做個老走硝哩。休得無禮！喫你祖宗這一鈀！」,八戒罵道妖精,"八戒罵道行者、沙僧、三藏、馬、鹿力大仙、 八大金星、鯉太尉
"
1232,猴王道：「我雖不是樹上生，卻是石裏長的。我只記得花果山上有一塊仙石，其年石破，我便生也。」,美猴王道菩提祖師,"美猴王道菩提祖師、 八戒、沙僧、長行者、鰣、鱖少卿、鯉師
"
1233,好大聖，搖身又一變，還變做個蟭蟟蟲，釘在他耳朵後面，不離他身上。,行者釘八戒,"行者釘在耳朵、釘謝做個蟭蟟蟲孫悟空、秦瓊三藏、徐聖真君
"
1234,正在那胡猜亂想之中，只見半空中彩霧燦燦，行者忽墜階前跪道：「師父，袈裟來了。」,孫悟空道三藏,"行者跪道三藏、八戒、沙僧、霧燦、醭禮、馬、鯉太子、魚祖
"
1235,那龍王兄弟，帥眾水族，望妖精火光裏噴下雨來。,龍王兄弟，帥眾水族噴紅孩兒,"龍王帥眾水族妖精火光裏噴下雨來孫悟空、細犬、徐茂功、護國兒
"
1236,土地道：「仙娥且住。今歲不比往年了，玉帝點差齊天大聖在此督理，須是報大聖得知，方敢開園。」,土地道七衣仙女,"土地道行者、沙僧、八戒、清風、鎮元大仙、酊天府仙吏、鍧珠龍女
"
1237,猴王大喜，將赭黃袍穿起，眾等欣然排班朝拜，即將鬼王封為前部總督先鋒。,孫悟空封鬼王,"眾等拜鬼王封為前部總督先鋒孫悟空、秦瓊山神、木叉
"
1238,行者歡喜道：「八戒，像這般子走走耍耍，我們也是上臺盤的和尚了。」,行者歡喜道八戒,"行者歡喜道八戒、沙僧、三藏、摩昂、鹿力大仙、高手、鯉老君
"
1239,八戒道：「不羞！連你穿的也沒有，又替我換！」,八戒道行者,"八戒道行者、沙僧、三藏、馬、鹿力大仙、長老、鯉太宰、酧天君
"
1240,喝聲「趕上！」,行者喝八戒,"行者喝聲三藏、八戒、沙僧、馬、鱖婆、鯉太宰、長老君
"
1241,連忙下馬攙道：「請起，請起。」,三藏攙道銀角,"馬攙道三藏、行者、 八戒、沙僧、諸天與五方揭諦神靈神、幸童子、神頂大仙
"
1242,八戒道：「莫要住！只管念！只管念！」,八戒道三藏,"八戒道行者、沙僧、三藏、馬、鄧天君、雷公、電母、鯉太子、長老君
"
1243,夜叉道：「臣巡水去到河邊，只聽得兩個漁樵攀話。相別時，言語甚是利害。那漁翁說：長安城裏，西門街上，有個賣卦先生，算得最準；他每日送他鯉魚一尾，他就袖傳一課，教他百下百著。若依此等算準，卻不將水族盡情打了？何以壯觀水府，何以躍浪翻波，輔助大王威力？」,夜叉道龍王,"夜叉道唐王 、 孫悟淨、崔玨、 八戒、沙僧、鱖婆、長老
"
1244,只見那石崖之下，有土地、山神、監押大聖的天將，都來拜接了菩薩，引至那大聖面前。,天將拜接 、 引至菩薩,"土地、山神拜接了菩薩、引至孫悟空、美猴王、八戒、沙僧
"
1245,金星笑道：「大王息怒。你自來未曾到此天堂，卻又無名，眾天丁又與你素不相識，他怎肯放你擅入？等如今見了天尊，授了仙籙，注了官名，向後隨你出入，誰復攩也？」,太白金星笑道孫悟空,"太白金星笑道玉皇大帝、木叉行者、善財童子、捧珠龍女道菩薩
"
1246,八戒道：「這河忒也凍得結實，地凌響了。或者這半中間連底通錮住了也。」,八戒道三藏,"八戒道行者、沙僧、三藏、馬、鹿力大仙、長老、鯉太宰、酧天君、鍧天師
"
1247,丞相道：「夫人休得煩惱，來朝奏知主上，親自統兵，定要與女婿報仇。」,丞相 道夫人,"殷丞相道唐王、 孫悟淨、崔玨、 八戒、沙僧、鱖少卿、長老
"
1248,唐王道：「莫哭！莫哭！休驚了他。」,唐王道宮人,"唐王道菩薩、木叉、善財童子、捧珠龍女道行者、 八戒、沙僧
"
1249,行者用手挽起道：「我豈有安心不救之理？快取水來。」,行者挽起道沙僧,"孫悟空挽起道三藏、行者、 八戒、沙僧、馬、長老、鯉太子
"
1250,三藏道：「院主請起，再不必行禮，作踐貧僧。我和你都是佛門弟子。」,三藏道僧官,"三藏道皇帝、帝后、徒弟子、諸天與守山大神、木叉行者、善財童子、捧珠龍女
"
1251,三藏道：「正是呀；倘或他在那裏貪著喫齋，我們那裏會他？天色晚了，此間不是個住處，須要尋個下處方好哩。」,三藏道沙僧,"三藏道行者、八戒、沙僧、馬、頭、逈神、阿翊諸天與五方揭諦神眾
"
1252,老君道：「這猴子胡說！甚麼一千丸，二千丸！當飯喫哩！是那裏土塊捘的，這等容易？——咄！快去！沒有！」,太上老君笑道行者,"太上老君道行者、八戒、沙僧、馬、魅、流、蕭、張二天君、鯉太宗
"
1253,三藏問道：「施主，那些人上冰往那裏去？」,三藏道老者,"三藏問道老者、八戒、沙僧、馬、鄧天君、雷公、電母、鯉太子
"
1254,劉小二道：「他原在我店中。後來昏了眼，三四年並無店租還我，如今在南門頭一個破瓦窰裏，每日上街叫化度日。那客官一去許久，到如今杳無信息，不知為何。」,劉小二道玄奘,"劉小二郎真君道殷小姐、尉遲神、將道行者、 八戒、沙僧、馬、長老
"
1255,漸漸紅日當午，那黑漢舉鎗架住鐵棒道：「孫行者，咱兩個且收兵，等我進了膳來，再與你賭鬭。」,黑風王道孫悟空,"黑漢舉鎗架住鐵棒道孫悟空、秦瓊和尚、敬德小道士
"
